mean,std,min,25%,50%,75%,max,hour,weekend,label
106.56680555555556,491.68674698839567,0.0,0.0,0.0,0.0,2527.0,12,1,boiler
65.70104166666667,39.254920984562574,29.0,44.0,48.0,78.0,215.0,13,0,solar_panel
30.405763888888888,0.4862924873436541,30.0,30.0,30.0,31.0,31.0,22,0,internet_router
12.144791666666666,22.583570770662625,0.0,1.0,1.0,1.0,59.0,18,0,fan
0.35194444444444445,0.4774976419042743,0.0,0.0,0.0,1.0,1.0,0,0,washing_machine
1.0,0.0,1.0,1.0,1.0,1.0,1.0,15,0,tv
94.95333333333333,2.5242177927839786,93.0,94.0,94.0,95.0,137.0,6,0,computer
11.995902777777777,0.061250436706424646,11.0,12.0,12.0,12.0,12.0,16,0,sound_system
3.3854166666666665,1.456890419952288,1.0,3.0,3.0,4.0,11.0,13,0,printer
1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,0,washing_machine
5.238888888888889,31.62508322977561,1.0,1.0,1.0,1.0,1374.0,5,0,coffee
1.0,0.0,1.0,1.0,1.0,1.0,1.0,19,0,washing_machine
0.3663888888888889,0.48145175463487877,0.0,0.0,0.0,1.0,1.0,23,0,coffee
7.865347222222222,1.8018729693918887,4.0,7.0,7.0,8.0,25.0,13,1,laptop
0.3773611111111111,0.48443541256937145,0.0,0.0,0.0,1.0,1.0,8,0,washing_machine
0.42659722222222224,0.4939663221481473,0.0,0.0,0.0,1.0,1.0,15,0,coffee
0.5,0.0,0.5,0.5,0.5,0.5,0.5,15,0,fan
8.84923611111111,0.3558487614323544,8.0,9.0,9.0,9.0,9.0,6,0,internet_router
0.9486111111111111,0.2205055291848737,0.0,1.0,1.0,1.0,1.0,0,0,boiler
1.0,0.0,1.0,1.0,1.0,1.0,1.0,22,0,washing_machine
3.174166666666667,0.37857217750588695,3.0,3.0,3.0,3.0,4.0,10,0,vacuum
43.245555555555555,9.926843113261194,30.0,36.0,40.0,50.0,70.0,8,0,solar_panel
135.40166666666667,46.94862399857769,96.5,101.0,109.0,152.0,245.0,21,0,computer
31.967777777777776,54.615530245438606,1.0,1.0,1.0,105.0,1377.0,11,0,coffee
0.009166666666666667,0.09531611902062782,0.0,0.0,0.0,0.0,1.0,1,0,3D_printer
0.7889583333333333,0.40462167255621834,0.0,1.0,1.0,1.0,1.0,3,0,laptop
2.315,0.46353258978733763,2.0,2.0,2.0,3.0,3.0,14,0,dishwasher
35.07805555555556,41.994608164170955,1.0,1.0,1.0,87.0,88.0,3,0,freezer
0.9570833333333333,0.4272983471369409,0.0,1.0,1.0,1.0,3.0,15,0,fan
38.52076388888889,56.840348933233024,1.0,1.0,1.0,102.0,1601.0,0,0,freezer
2.9902777777777776,0.09742406397700028,2.0,3.0,3.0,3.0,3.0,23,0,dehumidifier
645.0995833333334,606.5293886173623,1.0,2.0,639.0,1258.0,1292.0,14,0,radiator
30.898819444444445,0.31371691987838296,30.0,31.0,31.0,31.0,33.0,3,0,internet_router
31.532083333333333,0.4971562294458224,31.0,31.0,32.0,32.0,33.0,19,0,internet_router
0.9620833333333333,0.19083937011207244,0.0,1.0,1.0,1.0,1.0,23,0,phone_charger
27.0,0.0,27.0,27.0,27.0,27.0,27.0,9,0,tv
65.99083333333333,274.01191743567676,0.0,0.0,0.0,0.0,1316.0,14,0,coffee
1.0,0.0,1.0,1.0,1.0,1.0,1.0,8,0,washing_machine
1.0,0.0,1.0,1.0,1.0,1.0,1.0,14,0,tv
15.213472222222222,37.05329173795834,0.0,0.0,0.0,38.0,960.0,17,0,fridge
0.6797222222222222,0.4658659062150451,0.0,0.0,1.0,1.0,1.0,19,0,screen
27.320069444444446,54.536379242419635,0.0,0.0,0.0,1.0,1388.0,18,1,fridge
13.383541666666666,1.2165202269420232,11.0,12.0,14.0,14.0,15.0,18,1,sound_system
30.522777777777776,0.4942380480964988,30.0,30.0,31.0,31.0,31.0,12,0,internet_router
0.8440277777777778,0.36278368563435487,0.0,1.0,1.0,1.0,1.0,11,0,freezer
89.30395833333333,14.501072634668372,83.0,84.0,84.5,85.0,145.0,7,0,computer
30.600069444444443,61.47810601706277,0.0,0.0,0.0,2.0,1391.0,7,0,fridge
0.009444444444444445,0.09673596185149644,0.0,0.0,0.0,0.0,1.0,0,0,3D_printer
0.9548611111111112,0.20747019493930338,0.0,1.0,1.0,1.0,1.0,23,0,phone_charger
15.914861111111112,42.84644083631236,0.0,0.0,0.0,53.0,979.0,19,1,fridge
42.58763888888889,28.570434989134213,1.0,2.0,48.0,70.0,77.0,15,0,phone_charger
3.0059722222222223,0.07660770552113974,3.0,3.0,3.0,3.0,4.0,22,0,vacuum
2.477777777777778,0.4973106954605511,2.0,2.0,2.0,3.0,3.0,5,1,dishwasher
99.52682870370371,21.985679575752027,55.0,84.0,99.0,115.0,144.0,11,0,solar_panel
0.8494444444444444,0.357276167360097,0.0,1.0,1.0,1.0,1.0,9,1,laptop
7.801041666666666,0.8607650844646737,7.0,7.0,8.0,9.0,9.0,14,0,internet_router
1.0,0.0,1.0,1.0,1.0,1.0,1.0,22,1,tv
1.572638888888889,1.2982295990488626,0.0,1.0,1.0,2.0,11.0,18,1,micro_wave_oven
11.61486111111111,28.38370713083471,0.0,1.0,1.0,1.0,88.0,3,1,freezer
0.2401388888888889,0.42682031938399106,0.0,0.0,0.0,0.0,1.0,23,0,washing_machine
86.75472222222223,1.9822983454224306,83.0,85.0,86.5,88.0,92.0,11,0,freezer
11.565277777777778,0.4929792509618761,11.0,11.0,12.0,12.0,12.0,23,0,sound_system
119.45944444444444,55.6293386627767,88.0,90.0,91.0,94.0,254.0,0,0,computer
63.82222222222222,0.585576667875389,62.0,64.0,64.0,64.0,66.0,18,1,fan
988.0665046296297,441.0922167965756,1.0,1167.0,1201.0,1212.0,1246.0,19,0,radiator
13.762777777777778,44.080469346160136,0.0,0.0,0.0,0.0,1408.0,0,0,fridge
1.6381944444444445,1.4100321563089173,0.0,1.0,1.0,2.0,8.0,3,0,micro_wave_oven
1.0,0.0,1.0,1.0,1.0,1.0,1.0,22,1,washing_machine
3.256527777777778,0.4255714884900399,3.0,3.0,3.0,3.5,4.0,23,0,dishwasher
2.9518055555555556,0.21371966320349323,2.0,3.0,3.0,3.0,3.0,22,0,air_purifier
0.9256944444444445,0.2619063970039177,0.0,1.0,1.0,1.0,1.0,8,1,dryer
8.629212962962963,0.6860922497122177,7.0,8.5,9.0,9.0,9.0,6,0,internet_router
187.82861111111112,54.44392603132834,91.0,132.0,220.0,226.0,256.0,0,1,computer
17.795833333333334,46.22670350390567,1.0,1.0,1.0,1.0,1313.0,3,0,coffee
0.8957638888888889,0.3048979164522858,0.0,1.0,1.0,1.0,1.0,8,0,boiler
11.999444444444444,0.02356695125995407,11.0,12.0,12.0,12.0,12.0,21,0,sound_system
45.57298611111111,40.641539351588484,6.0,12.0,26.0,86.0,127.0,16,0,solar_panel
1.5665277777777777,1.2861949582967565,0.0,1.0,1.0,2.0,10.0,11,0,micro_wave_oven
41.95597222222222,0.2559498147043371,41.0,42.0,42.0,42.0,43.0,0,0,dehumidifier
2.0,0.0,2.0,2.0,2.0,2.0,2.0,11,0,washing_machine
1.0,0.0,1.0,1.0,1.0,1.0,1.0,2,0,washing_machine
28.41861111111111,19.207710323891302,1.0,2.0,41.0,43.0,46.0,18,0,fridge
3.1952083333333334,0.3947698650959671,3.0,3.0,3.0,3.0,4.0,9,0,vacuum
31.058888888888887,58.246464285055765,0.0,0.0,0.0,14.0,1383.0,1,0,fridge
8.690208333333333,0.45894746023473054,8.0,8.0,9.0,9.0,9.0,5,0,internet_router
2.2405555555555554,0.42646341510840224,2.0,2.0,2.0,2.0,3.0,13,0,dishwasher
11.917569444444444,0.27216993727043565,11.0,12.0,12.0,12.0,12.0,17,0,sound_system
1.4745833333333334,1.0630216876260628,0.0,1.0,1.0,2.0,7.0,13,0,micro_wave_oven
1.0,0.0,1.0,1.0,1.0,1.0,1.0,2,0,screen
0.6041666666666666,0.48867061701789943,0.0,0.0,1.0,1.0,1.0,10,1,washing_machine
7.067222222222222,0.2777935841879938,7.0,7.0,7.0,7.0,9.0,23,0,internet_router
31.00604166666667,0.161659989296921,30.0,31.0,31.0,31.0,38.0,15,0,internet_router
2.483611111111111,0.4984089873103432,2.0,2.0,2.0,3.0,3.0,0,0,dishwasher
0.9905555555555555,0.09673596185148667,0.0,1.0,1.0,1.0,1.0,7,0,washing_machine
24.836875,20.12330023571484,1.0,2.0,41.0,42.0,46.0,20,0,fridge
31.005972222222223,0.0835473541415743,30.0,31.0,31.0,31.0,32.0,3,0,internet_router
17.388819444444444,39.017464661605814,1.0,1.0,1.0,1.0,117.0,12,0,coffee
1.3275,0.4686259792403705,1.0,1.0,1.0,2.0,2.0,11,1,dehumidifier
31.004166666666666,0.09781937525382745,30.0,31.0,31.0,31.0,32.0,10,0,internet_router
1.4101388888888888,0.9542435211047122,0.0,1.0,1.0,2.0,9.0,22,1,micro_wave_oven
11.664375,0.46911964447332266,11.0,11.0,12.0,12.0,12.0,16,0,sound_system
1014.3047222222223,451.62438495354115,1.0,1201.0,1224.0,1246.0,1292.0,9,0,radiator
21.784861111111113,20.104434372739142,1.0,2.0,2.0,41.0,46.0,0,1,fridge
1.0118055555555556,0.13618493372479898,0.0,1.0,1.0,1.0,2.0,21,1,solar_panel
6.515625,1.1780482200278362,6.0,6.0,6.0,6.0,18.0,10,0,air_conditioner
30.878819444444446,0.3272059945804638,30.0,31.0,31.0,31.0,32.0,14,0,internet_router
8.627222222222223,0.46317795837361764,8.0,8.0,9.0,9.0,9.0,0,0,internet_router
0.8168055555555556,0.3864304567256717,0.0,1.0,1.0,1.0,1.0,2,0,screen
0.9893055555555555,0.10253560010251536,0.0,1.0,1.0,1.0,1.0,17,0,boiler
